path,split,instrument,family,pitch,velocity
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-022-025.wav,val,bass_electronic_018,other,22,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-022-050.wav,train,bass_electronic_018,other,22,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-022-075.wav,train,bass_electronic_018,other,22,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-022-127.wav,train,bass_electronic_018,other,22,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-023-050.wav,train,bass_electronic_018,other,23,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-023-100.wav,train,bass_electronic_018,other,23,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-024-050.wav,train,bass_electronic_018,other,24,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-024-075.wav,train,bass_electronic_018,other,24,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-024-127.wav,train,bass_electronic_018,other,24,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-025-025.wav,train,bass_electronic_018,other,25,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-025-050.wav,train,bass_electronic_018,other,25,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-025-075.wav,val,bass_electronic_018,other,25,75
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-025-100.wav,train,bass_electronic_018,other,25,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-025-127.wav,train,bass_electronic_018,other,25,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-026-050.wav,train,bass_electronic_018,other,26,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-026-100.wav,train,bass_electronic_018,other,26,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-027-025.wav,val,bass_electronic_018,other,27,25
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-027-050.wav,train,bass_electronic_018,other,27,50
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-027-100.wav,train,bass_electronic_018,other,27,100
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-027-127.wav,train,bass_electronic_018,other,27,127
D:\ELEC 5305 project\nsynth\processed_16k\bass_electronic_018\bass_electronic_018-028-025.wav,train,bass_electronic_018,other,28,25
